DimItem_ItemCode_,DimItem_BPItemCode_,DimItem_ItemDesc_,ItemCategory,ItemGroupCode,ItemGroupDesc,ProductFamilyCode,ProductFamilyDesc,ItemModelGroupCode,OrigCountryRegionId,ItemModelGroupDesc,Sub_Brand,PackagingGroupCode,Grade,UnitCode_Sales,TaxItemGroupCode_Sales,CaseVolume,ContainerVolume,PackSize,PackagingQty,Pkg_or_Bulk,ProductStatus,DimItem_IsPFLItem_,DimItem_CreatedDateTime_,DimItem_ModifiedDateTime_
4501700R,4501700R,"Wakefield Full Synthetic 0W20, Bulk (MOSYN02BLK)",,FG,Finished Goods,WAKE,Wakefield,SYN,CAN,Synthetic Motor Oil,,BULK,,LT,EHCP,1,1,,1,Bulk,Active,False,8/5/2025 10:47:00 AM,8/25/2025 3:40:00 PM
45075159,45075159,OPTIGEAR BM 150 1x18.93L,LUBES,FG,Finished Goods,CIND,Castrol Industrial,GO,,Gear Oil,Optigear,PAIL,NOGD,PL,EHCPC,18.93,18.93,PACK,1,Package,Active,False,7/28/2022 3:00:00 PM,5/7/2024 10:53:00 PM
450751-5G,4507515G,OBSOLETE - OPTIGEAR BM 150 1x18.93L,,FG,Finished Goods,CIND,Castrol Industrial,GO,,Gear Oil,,PAIL,,PL,EHCPC,18.93,-1,,0,Package,Obsolete,False,7/21/2022 9:42:00 AM,8/26/2022 11:09:00 AM
45075259,OPTIG BM 220,OPTIGEAR BM 220 1x18.93L,LUBES,FG,Finished Goods,CIND,Castrol Industrial,GO,,Gear Oil,Optigear,PAIL,NOGD,PL,EHCPC,18.93,18.93,PACK,1,Package,Active,False,7/28/2022 3:07:00 PM,1/30/2025 2:06:00 PM
450752-5G,4507525G,OBSOLETE - OPTIGEAR BM 220 1x18.93L,,FG,Finished Goods,CIND,Castrol Industrial,GO,,Gear Oil,,PAIL,,PL,EHCPC,18.93,-1,,0,Package,Obsolete,False,7/21/2022 9:50:00 AM,8/26/2022 11:10:00 AM
4507700,4507700,Wakefield Conventional 5W20 Bulk,LUBES,FG,Finished Goods,WAKE,Wakefield,NON,,Non Synthetic Motor Oil,Wakefield,BULK,5W20,LT,EHCP,1,1,,1,Bulk,Active,False,7/2/2020 4:43:00 PM,4/22/2021 10:28:00 AM
4507700R,4507700R,Wakefield Conventional 5W20 Bulk ( 21K520X),,FG,Finished Goods,WAKE,Wakefield,NON,,Non Synthetic Motor Oil,,BULK,,LT,EHCP,1,1,,1,Bulk,Active,False,7/2/2020 4:55:00 PM,8/22/2024 5:08:00 PM
4507900,WK CONV 5/30,Wakefield Conventional 5W30 Bulk,LUBES,FG,Finished Goods,WAKE,Wakefield,NON,,Non Synthetic Motor Oil,Wakefield,BULK,5W30,LT,EHCP,1,1,,1,Bulk,Active,False,7/2/2020 4:45:00 PM,1/14/2026 10:09:00 AM
4507900R,WKCON5W30 - 4507900R,Wakefield Conventional 5W30 Bulk (21K530X),,FG,Finished Goods,WAKE,Wakefield,NON,,Non Synthetic Motor Oil,,BULK,,LT,EHCP,1,1,,1,Bulk,Active,False,7/2/2020 4:58:00 PM,9/13/2024 9:54:00 AM
45082859,HYSPIN ZZ 46,HYSPIN ZZ 46 1x18.93L,LUBES,FG,Finished Goods,CIND,Castrol Industrial,HYD,,Hydraulic Oils,Hyspin,PAIL,NOGD,PL,EHCPC,18.93,18.93,PACK,1,Package,Active,False,7/28/2022 2:30:00 PM,5/7/2024 10:53:00 PM
450828-5G,4508285G,OBSOLETE - HYSPIN ZZ 46 1x18.93L,,FG,Finished Goods,CIND,Castrol Industrial,HYD,,Hydraulic Oils,,PAIL,,PL,EHCPC,18.93,-1,,0,Package,Obsolete,False,7/21/2022 9:17:00 AM,8/26/2022 11:17:00 AM
45112859,HYSPIN ZZ32,HYSPIN ZZ 32 1x18.93L,LUBES,FG,Finished Goods,CIND,Castrol Industrial,HYD,,Hydraulic Oils,Hyspin,PAIL,NOGD,PL,EHCPC,18.93,18.93,PACK,1,Package,Active,False,7/28/2022 2:14:00 PM,5/7/2024 10:53:00 PM
451128-5G,4511285G,OBSOLETE - HYSPIN ZZ 32 1x18.93L,,FG,Finished Goods,CIND,Castrol Industrial,HYD,,Hydraulic Oils,,PAIL,,PL,EHCPC,18.93,-1,,0,Package,Obsolete,False,7/21/2022 9:07:00 AM,8/26/2022 11:17:00 AM
451C,R08652AHitec2510F,OBSOLETE - R08652A Hitec 2510F,,RM,Raw Material,LADD,Lubes Additive,ADD,CAN,Additive,,DRUM,,KG,ALLTAX,1,-1,,0,Package,Obsolete,False,2/6/2014 2:23:00 PM,4/22/2026 1:30:00 PM
45254159,45254159,OBSOLETE -HONILO 480 CF 1x18.93L,LUBES,FG,Finished Goods,CIND,Castrol Industrial,CUTG,,Cutting and Grinding,Honilo,PAIL,NOGD,PL,EHCC,18.93,-1,PACK,0,Package,Obsolete,False,7/28/2022 3:43:00 PM,9/30/2022 10:32:00 AM
452541-5G,4525415G,OBSOLETE - HONILO 480 CF 1x18.93L,,FG,Finished Goods,CIND,Castrol Industrial,CUTG,,Cutting and Grinding,,PAIL,,PL,EHCC,18.93,-1,,0,Package,Obsolete,False,7/21/2022 10:42:00 AM,8/26/2022 11:18:00 AM
452C,R08666AELCO313A,OBSOLETE - R08666A  ELCO 313 A(605524),,RM,Raw Material,LADD,Lubes Additive,ADD,CAN,Additive,,DRUM,,GAL,ALLTAX,1.03842,-1,,0,Package,Obsolete,False,2/6/2014 2:24:00 PM,9/26/2024 11:42:00 AM
45449559,Rustilo 4163,RUSTILO 4163 1x18.93L,LUBES,FG,Finished Goods,CIND,Castrol Industrial,COIN,,Corrosion Inhibitors,Rustilo,PAIL,NOGD,PL,EHCC,18.93,18.93,PACK,1,Package,Active,False,7/28/2022 3:11:00 PM,5/7/2024 10:53:00 PM
454495-5G,4544955G,OBSOLETE - RUSTILO 4163 1x18.93L,,FG,Finished Goods,CIND,Castrol Industrial,COIN,,Corrosion Inhibitors,,PAIL,,PL,EHCC,18.93,-1,,0,Package,Obsolete,False,7/21/2022 10:08:00 AM,9/6/2022 11:35:00 AM
454A,R02136CSiliconeAntif,OBSOLETE - 02136C Silicone Antifoam (606053),,RM,Raw Material,LADD,Lubes Additive,ADD,CAN,Additive,,PAIL,,G,ALLTAX,0.001,0.001,,1,Package,Obsolete,False,2/6/2014 2:24:00 PM,4/22/2026 1:30:00 PM
455C,A 05007 PIA,OBSOLETE-A 05007 PIA,,RM,Raw Material,LADD,Lubes Additive,ADD,CAN,Additive,,DRUM,,LT,ALLTAX,1.18497,-1,,0,Package,Obsolete,False,2/6/2014 2:24:00 PM,4/22/2026 1:30:00 PM
